Montgomery AL,Juneau AK,Phoenix AZ,Little Rock AR,Sacramento CA,Denver CO,Hartford CT,Dover DE,Tallahassee FL,Atlanta GA,Boise ID,Springfield IL,Indianapolis IN,Des Moines IA,Topeka KS,Frankfort KY,Baton Rouge LA,Augusta ME,Annapolis MD,Boston MA,Lansing MI,Saint Paul MN,Jackson MS,Jefferson City MO,Helena MT,Lincoln NE,Carson City NV,Concord NH,Trenton NJ,Santa Fe NM,Albany NY,Raleigh NC,Bismarck ND,Columbus OH,Oklahoma City OK,Salem OR,Harrisburg PA,Providence RI,Columbia SC,Pierre SD,Nashville TN,Austin TX,Salt Lake City UT,Montpelier VT,Richmond VA,Olympia WA,Charleston WV,Madison WI,Cheyenne WY
0,6092,2754,744,3825,2216,1832,1436,337,257,3459,1051,915,1507,1351,789,586,2236,1338,1990,1315,1862,398,1063,3271,1559,3694,2066,1557,2066,1872,909,2531,1060,1274,4209,1408,1937,592,2186,452,1277,2975,2124,1110,4269,1048,1452,2271
6049,0,5003,5464,3966,4272,6299,6117,6386,5991,3504,5047,5153,4590,4755,5420,6013,6694,6029,6448,5214,4217,5843,5037,3169,4578,3936,6414,6120,4901,6178,6162,3574,5431,5060,3107,5924,6424,6148,3905,5596,5747,3943,6024,6151,2853,5650,4634,4114
2755,5003,0,2087,1215,1321,4080,3787,3028,2970,1483,2501,2736,2253,1848,2850,2323,4510,3699,4264,3127,2652,2362,2220,1836,1995,1186,4231,3804,771,3995,3498,2382,3018,1545,2075,3609,4180,3313,2158,2633,1618,1060,4212,3619,2328,3158,2722,1476
741,5509,2085,0,3160,1552,2178,1789,1078,832,2855,711,937,985,780,892,555,2583,1691,2337,1342,1385,419,552,2701,989,3029,2413,1915,1401,2143,1425,1948,1164,544,3606,1716,2285,1175,1615,559,827,2371,2359,1546,3703,1179,1134,1699
3816,3964,1217,3150,0,1872,4701,4519,4244,3968,888,3150,3481,2757,2724,3668,3539,5096,4432,4850,3616,3058,3422,3018,1631,2458,209,4817,4522,1835,4580,4489,2416,3763,2608,862,4326,4826,4312,2357,3659,2834,1045,4797,4486,1115,3976,3226,1749
2214,4276,1320,1553,1870,0,3025,2793,2551,2255,1319,1465,1742,1080,865,1869,1958,3420,2706,3174,1940,1479,1917,1219,1273,782,1704,3140,2810,627,2904,2690,1130,2024,1089,2069,2615,3149,2566,845,1859,1474,834,3121,2686,2166,2177,1550,163
1871,6333,4077,2179,4696,3024,0,453,1947,1614,4145,1677,1343,1945,2220,1367,2382,410,533,164,1163,2077,2124,1933,3819,2247,4530,239,294,3392,181,974,2772,1063,2534,4895,470,118,1322,2700,1620,3001,3660,321,727,4817,1051,1667,2957
1438,6151,3786,1790,4514,2795,455,0,1548,1180,3963,1387,1053,1763,1929,1025,1993,859,104,613,1071,1895,1734,1642,3637,2065,4348,689,180,3102,494,575,2590,772,2244,4713,206,560,923,2518,1230,2612,3478,773,328,4635,709,1485,2775
332,6427,3028,1078,4243,2550,1943,1548,0,435,3793,1385,1249,1841,1685,1092,709,2347,1449,2101,1649,2197,694,1398,3605,1893,3990,2177,1669,2362,1982,988,2865,1348,1609,4544,1574,2048,619,2520,787,1400,3309,2261,1221,4603,1185,1786,2605
258,6037,2970,835,3982,2255,1575,1179,426,0,3499,996,859,1452,1390,657,843,1979,1081,1733,1247,1807,614,1103,3310,1598,3884,1809,1300,2222,1615,652,2476,913,1365,4249,1151,1680,344,2225,401,1494,3014,1867,853,4308,807,1397,2310
3450,3504,1483,2847,889,1308,4136,3954,3787,3490,0,2585,2917,2192,2159,3104,3267,4531,3867,4285,3051,2371,3261,2454,786,1894,724,4252,3957,1548,4016,3924,1673,3199,2383,764,3762,4261,3801,1793,3094,2619,546,4232,3921,861,3412,2661,1184
1051,5092,2498,710,3143,1464,1679,1386,1388,994,2592,0,335,542,599,603,1219,2108,1299,1863,629,837,942,310,2404,692,2978,1829,1403,1724,1593,1348,1531,617,956,3343,1208,1780,1305,1319,598,1480,2108,1810,1345,3402,835,427,1404
915,5198,2734,940,3477,1742,1344,1051,1252,858,2926,335,0,759,877,267,1357,1774,963,1528,408,943,1080,590,2684,1026,3311,1495,1068,2049,1259,1012,1637,282,1191,3676,872,1444,994,1546,462,1761,2441,1475,1009,3682,500,532,1738
1507,4637,2252,988,2750,1079,1945,1762,1844,1450,2199,542,759,0,413,1028,1603,2339,1675,2093,859,400,1326,442,1894,301,2585,2060,1765,1538,1824,1772,1076,1041,878,2949,1570,2069,1755,809,1054,1496,1715,2041,1769,2892,1259,469,1011
1349,4801,1847,780,2719,865,2221,1928,1686,1389,2168,600,877,413,0,1003,1283,2651,1841,2405,1225,812,1159,353,2123,264,2554,2372,1945,1111,2136,1824,1240,1159,473,2918,1750,2321,1701,908,994,1091,1684,2353,1821,3015,1312,882,1012
789,5464,2847,893,3660,1866,1368,1024,1082,657,3109,602,265,1026,1001,0,1280,1773,937,1527,633,1209,1000,714,2899,1209,3495,1514,1091,2163,1277,831,1903,299,1305,3860,906,1474,738,1813,335,1715,2625,1494,828,3897,319,798,1921
586,6059,2323,554,3538,1957,2383,1994,708,843,3276,1221,1358,1605,1299,1281,0,2788,1896,2543,1762,1902,278,1151,3230,1539,3342,2618,2120,1713,2385,1495,2498,1553,1017,4026,1921,2490,1178,2166,945,694,2683,2637,1696,4123,1549,1644,2120
2276,6729,4486,2584,5091,3420,410,857,2351,2018,4540,2112,1753,2341,2629,1772,2787,0,937,259,1501,2473,2528,2342,4214,2642,4926,262,698,3802,519,1377,3168,1473,2944,5290,875,349,1726,3096,2024,3405,4056,291,1130,5212,1455,2063,3352
1340,6062,3697,1692,4425,2706,529,103,1450,1082,3874,1298,963,1674,1840,936,1895,934,0,688,982,1806,1636,1553,3548,1976,4259,763,255,3013,569,477,2501,683,2155,4624,180,635,825,2429,1132,2514,3389,848,230,4546,619,1396,2686
2027,6480,4238,2335,4843,3171,162,608,2102,1770,4292,1863,1504,2092,2381,1524,2539,260,688,0,1252,2224,2280,2094,3966,2394,4677,109,449,3553,270,1129,2919,1224,2695,5042,626,81,1477,2847,1776,3157,3807,289,882,4964,1207,1814,3104
1318,5260,3126,1344,3608,1937,1156,1075,1655,1246,3057,629,403,858,1227,632,1762,1491,987,1246,0,1004,1485,937,2746,1159,3443,1212,1078,2352,976,1183,1699,409,1583,3808,882,1235,1242,1627,865,2107,2573,1170,1109,3743,667,594,1869
1856,4265,2648,1384,3050,1476,2082,1900,2193,1798,2362,830,935,396,809,1203,1895,2476,1812,2231,997,0,1618,834,1751,698,2885,2197,1902,1934,1961,1945,704,1214,1274,2873,1707,2206,1930,651,1402,1892,2014,2178,1934,2749,1432,416,1408
399,5913,2360,412,3431,1915,2124,1735,692,613,3263,944,1081,1328,1162,1000,277,2529,1636,2283,1486,1625,0,875,3082,1370,3300,2359,1860,1671,2126,1265,2352,1272,975,4013,1662,2230,957,1997,667,883,2641,2378,1467,4110,1287,1368,2107
1062,5083,2218,555,3014,1220,1934,1641,1399,1102,2463,310,590,443,355,716,1149,2364,1553,2118,936,836,872,0,2275,563,2849,2085,1658,1437,1849,1537,1522,872,676,3213,1463,2034,1414,1190,707,1200,1979,2066,1534,3273,1025,692,1275
3270,3173,1837,2812,1629,1272,3830,3648,3607,3310,792,2405,2684,1895,2123,2951,3231,4225,3560,3979,2745,1748,3081,2274,0,1752,1463,3945,3651,1901,3709,3693,1050,2962,2348,1136,3455,3955,3622,1128,2914,2747,778,3926,3682,1011,3181,2164,1113
1558,4624,2013,989,2452,780,2246,2064,1895,1598,1901,693,1025,301,264,1212,1538,2640,1976,2394,1161,699,1369,562,1829,0,2286,2361,2066,1253,2125,2032,1063,1307,702,2651,1871,2370,1909,637,1202,1320,1416,2342,2029,2748,1520,771,713
3696,3935,1189,3030,209,1707,4536,4353,3989,3889,722,2984,3316,2591,2558,3503,3343,4930,4266,4684,3451,2893,3302,2853,1465,2293,0,4651,4356,1715,4415,4324,2251,3598,2488,833,4161,4660,4200,2192,3493,2734,879,4632,4320,1086,3811,3060,1583
2104,6449,4228,2412,4811,3140,239,685,2179,1847,4260,1832,1494,2061,2371,1514,2616,263,765,109,1221,2193,2357,2084,3935,2362,4646,0,526,3543,243,1206,2888,1214,2685,5010,703,187,1554,2816,1853,3234,3776,190,959,4932,1284,1783,3072
1559,6154,3801,1915,4517,2810,290,181,1670,1301,3966,1402,1068,1766,1944,1091,2119,695,255,449,1074,1899,1860,1657,3640,2068,4352,524,0,3117,330,696,2593,787,2259,4716,203,396,1044,2521,1356,2737,3481,609,449,4638,774,1488,2778
2068,4904,771,1402,1846,628,3395,3102,2361,2221,1557,1725,2051,1538,1110,2166,1715,3825,3015,3580,2351,1938,1674,1436,1901,1235,1715,3546,3119,0,3310,2813,1758,2333,860,2307,2924,3496,2564,1398,1948,1106,1006,3527,2934,2404,2474,2008,791
1873,6213,3992,2146,4576,2904,183,489,1983,1615,4025,1596,1258,1825,2135,1278,2384,518,569,273,986,1957,2125,1848,3699,2127,4410,242,330,3308,0,1009,2652,979,2449,4775,472,262,1381,2580,1588,2967,3540,253,762,4697,1053,1547,2837
